{A: types.State{X: 13, Y: 3}, B: types.State{X: 12, Y: 4}},
{A: types.State{X: 1, Y: 2}, B: types.State{X: 1, Y: 3}},
{A: types.State{X: 2, Y: 7}, B: types.State{X: 1, Y: 8}},
{A: types.State{X: 13, Y: 6}, B: types.State{X: 13, Y: 7}},
{A: types.State{X: 3, Y: 1}, B: types.State{X: 4, Y: 2}},
{A: types.State{X: 1, Y: 6}, B: types.State{X: 1, Y: 7}},
{A: types.State{X: 1, Y: 9}, B: types.State{X: 2, Y: 9}},
{A: types.State{X: 7, Y: 1}, B: types.State{X: 6, Y: 2}},
{A: types.State{X: 13, Y: 4}, B: types.State{X: 12, Y: 5}},
{A: types.State{X: 13, Y: 1}, B: types.State{X: 13, Y: 2}},
{A: types.State{X: 12, Y: 4}, B: types.State{X: 13, Y: 4}},
{A: types.State{X: 1, Y: 4}, B: types.State{X: 2, Y: 5}},
{A: types.State{X: 1, Y: 1}, B: types.State{X: 2, Y: 1}},
{A: types.State{X: 13, Y: 7}, B: types.State{X: 13, Y: 8}},
{A: types.State{X: 8, Y: 1}, B: types.State{X: 8, Y: 2}},
{A: types.State{X: 7, Y: 1}, B: types.State{X: 8, Y: 1}},
{A: types.State{X: 4, Y: 1}, B: types.State{X: 4, Y: 2}},
{A: types.State{X: 1, Y: 2}, B: types.State{X: 2, Y: 2}},
{A: types.State{X: 2, Y: 8}, B: types.State{X: 2, Y: 9}},
{A: types.State{X: 1, Y: 5}, B: types.State{X: 2, Y: 5}},
{A: types.State{X: 3, Y: 2}, B: types.State{X: 4, Y: 2}},
{A: types.State{X: 2, Y: 4}, B: types.State{X: 2, Y: 5}},
{A: types.State{X: 11, Y: 1}, B: types.State{X: 12, Y: 1}},
{A: types.State{X: 11, Y: 1}, B: types.State{X: 10, Y: 2}},
{A: types.State{X: 6, Y: 1}, B: types.State{X: 5, Y: 2}},
{A: types.State{X: 1, Y: 3}, B: types.State{X: 2, Y: 4}},
{A: types.State{X: 6, Y: 1}, B: types.State{X: 7, Y: 1}},
{A: types.State{X: 9, Y: 1}, B: types.State{X: 9, Y: 2}},
{A: types.State{X: 13, Y: 8}, B: types.State{X: 12, Y: 9}},
{A: types.State{X: 2, Y: 3}, B: types.State{X: 2, Y: 4}},
{A: types.State{X: 5, Y: 1}, B: types.State{X: 5, Y: 2}},
{A: types.State{X: 10, Y: 1}, B: types.State{X: 9, Y: 2}},
{A: types.State{X: 12, Y: 8}, B: types.State{X: 13, Y: 9}},
{A: types.State{X: 10, Y: 1}, B: types.State{X: 11, Y: 1}},
{A: types.State{X: 12, Y: 3}, B: types.State{X: 13, Y: 3}},
{A: types.State{X: 2, Y: 1}, B: types.State{X: 3, Y: 2}},
{A: types.State{X: 12, Y: 7}, B: types.State{X: 12, Y: 8}},
{A: types.State{X: 12, Y: 5}, B: types.State{X: 13, Y: 5}},
{A: types.State{X: 3, Y: 1}, B: types.State{X: 4, Y: 1}},
{A: types.State{X: 6, Y: 2}, B: types.State{X: 7, Y: 2}},
{A: types.State{X: 1, Y: 3}, B: types.State{X: 1, Y: 4}},
{A: types.State{X: 3, Y: 1}, B: types.State{X: 2, Y: 2}},
{A: types.State{X: 12, Y: 4}, B: types.State{X: 13, Y: 5}},
{A: types.State{X: 6, Y: 1}, B: types.State{X: 6, Y: 2}},
{A: types.State{X: 1, Y: 7}, B: types.State{X: 1, Y: 8}},
{A: types.State{X: 2, Y: 3}, B: types.State{X: 1, Y: 4}},
{A: types.State{X: 12, Y: 8}, B: types.State{X: 12, Y: 9}},
{A: types.State{X: 9, Y: 1}, B: types.State{X: 10, Y: 2}},
{A: types.State{X: 10, Y: 2}, B: types.State{X: 11, Y: 2}},
{A: types.State{X: 10, Y: 1}, B: types.State{X: 10, Y: 2}},
{A: types.State{X: 12, Y: 1}, B: types.State{X: 13, Y: 2}},
{A: types.State{X: 5, Y: 1}, B: types.State{X: 6, Y: 2}},
{A: types.State{X: 1, Y: 2}, B: types.State{X: 2, Y: 3}},
{A: types.State{X: 2, Y: 7}, B: types.State{X: 2, Y: 8}},
{A: types.State{X: 13, Y: 2}, B: types.State{X: 13, Y: 3}},
{A: types.State{X: 7, Y: 1}, B: types.State{X: 7, Y: 2}},
{A: types.State{X: 13, Y: 4}, B: types.State{X: 13, Y: 5}},
{A: types.State{X: 2, Y: 8}, B: types.State{X: 1, Y: 9}},
{A: types.State{X: 13, Y: 5}, B: types.State{X: 1, Y: 6}},
{A: types.State{X: 1, Y: 4}, B: types.State{X: 1, Y: 5}},
{A: types.State{X: 13, Y: 1}, B: types.State{X: 12, Y: 2}},
{A: types.State{X: 1, Y: 1}, B: types.State{X: 1, Y: 2}},
{A: types.State{X: 1, Y: 8}, B: types.State{X: 2, Y: 8}},
{A: types.State{X: 2, Y: 1}, B: types.State{X: 1, Y: 2}},
{A: types.State{X: 1, Y: 7}, B: types.State{X: 2, Y: 8}},
{A: types.State{X: 13, Y: 7}, B: types.State{X: 12, Y: 8}},
{A: types.State{X: 8, Y: 1}, B: types.State{X: 9, Y: 2}},
{A: types.State{X: 2, Y: 1}, B: types.State{X: 3, Y: 1}},
{A: types.State{X: 4, Y: 1}, B: types.State{X: 5, Y: 2}},
{A: types.State{X: 13, Y: 2}, B: types.State{X: 12, Y: 3}},
{A: types.State{X: 12, Y: 3}, B: types.State{X: 13, Y: 4}},
{A: types.State{X: 11, Y: 1}, B: types.State{X: 11, Y: 2}},
{A: types.State{X: 12, Y: 2}, B: types.State{X: 13, Y: 2}},
{A: types.State{X: 12, Y: 1}, B: types.State{X: 11, Y: 2}},
